plot_id_needle,year,vpd_an,tmax_an,ppt_an,vpdSummer,tmaxSummer,pptSummer
FS_12,1901,8.663499951333334,10.005749953333334,1039.572992625,12.101833263666666,15.23183322,242.13200211500003
FS_12,1902,8.896083395083334,9.624333400583334,1058.255017443,13.211000045833334,15.779666740333333,135.022999873
FS_12,1903,8.3942499965,9.33916660075,953.2970171290001,11.825500012833333,14.936333258,45.437998848999996
FS_12,1904,8.7818331315000009,10.020250012833333,1332.77498914,12.489166338166667,15.5090000635,176.01100063
FS_12,1905,10.165749987166667,11.364000062833334,627.704001002,14.065166632666667,16.347500167333333,123.152998452
FS_12,1906,8.670249978583334,10.108583291999999,1423.3470272270001,11.810499985666667,14.802666506833333,235.90000583699998
FS_12,1907,8.519833196583333,9.41733338,1373.529963465,11.858999728166665,14.131999970833332,123.09400176
FS_12,1908,10.056083381416666,10.534333307916667,617.455990273,14.5513333485,16.092000006333333,130.569996363
FS_12,1909,8.940500021166667,9.575416752833334,1476.546019606,13.932500044666666,16.098000206666665,53.421000486
FS_12,1910,10.93808323075,12.033583273333333,548.2459942749999,14.992499827666666,17.048999945,62.397999435
FS_12,1911,8.673749844583334,9.41275005525,1152.8090260949998,11.867666483499999,13.862833420666666,106.846996605
FS_12,1912,7.837083438833334,8.3783333025,728.2220010599999,11.175666888166667,13.206333239333333,276.45200157
FS_12,1913,8.007750034666666,8.749333416583333,946.8760051610001,10.915666818833333,13.909666777,228.58199882
FS_12,1914,9.522416672,10.507666795083333,975.6510143180001,12.928833406833334,15.297833523833333,133.78400230800003
FS_12,1915,10.292916475916666,10.833833436416667,1061.203987253,13.7536664,15.290333350333333,202.29100436299998
FS_12,1916,8.210833370583334,8.679500043333334,1134.63999243,12.546500046833334,14.922500133333333,76.00199950000001
FS_12,1917,9.463416656166666,9.477833181333333,695.8880053030001,13.452999989833334,14.798999706166667,142.18900013300004
FS_12,1918,9.432833293166667,10.039749800833333,867.7239951610001,13.891166605666665,15.658166328833333,155.490999151
FS_12,1919,10.515333315,10.506916622583333,850.2510015150002,16.3086667065,17.554666599166666,64.206999895
FS_12,1920,9.412083348416667,9.592583307750001,1047.1650003109999,14.432000002833334,15.760333297833334,215.59999969100002
FS_12,1921,10.099499940166666,10.5450832445,861.4030108869998,14.352499961,15.624333222166667,98.773000237
FS_12,1922,9.512583137083332,9.852583274166667,1195.780986245,14.291999658833333,16.2283331545,111.665000435
FS_12,1923,8.76183335,9.6864165465,639.760002137,12.090499957666667,14.377499818833334,307.27900218699995
FS_12,1924,11.210083405416666,11.309750100416666,566.8169949459999,16.9398334825,17.808000247666666,40.712998626
FS_12,1925,9.041833461333333,10.225666632,863.75401879,12.400666795,14.935999869666666,276.96700097
FS_12,1926,11.63291676825,12.21125000775,931.567012019,16.798166909666666,17.759833336666667,183.32199884
FS_12,1927,9.052916804999999,9.553416694416667,1037.7190012760002,13.148166894666666,14.813333353333334,158.706004656
FS_12,1928,10.431250134833332,10.886416554333334,764.17501036,15.513000249333333,16.692999838666665,95.98800146900001
FS_12,1929,10.4824999365,10.778333227083333,759.817000595,14.324500003833334,15.447833141666667,182.77699685300001
FS_12,1930,8.512000014416667,8.908916443166666,739.03200436,12.398166736166667,14.4174995415,170.09000016000002
FS_12,1931,9.444000045333333,9.46408325425,896.0690057400001,14.6909999845,16.025166510833333,142.01200272
FS_12,1932,9.1920831395,8.844083356083333,636.2690011679998,13.4834997245,14.667666673833333,180.860998159
FS_12,1933,9.58866647825,9.217166592083332,826.8530079670002,13.9394996945,14.785833198499999,109.155001462
FS_12,1934,9.904750089416666,10.686916718083333,701.30700208,14.779500167666667,16.480166751666665,147.17899989
FS_12,1935,9.066333472916668,8.7360834645,881.3779963019999,14.374000311333335,15.464833575666667,271.56599979199996
FS_12,1936,9.289666771666667,10.024249921500001,1124.497013127,13.451000213166667,15.832999865666666,160.27800321799998
FS_12,1937,9.865250020416667,9.706833391,1172.648986457,14.888666708333332,16.296833435666667,99.483001347
FS_12,1938,9.120416800916667,9.656999952666666,1208.2659913229998,14.114666860833333,16.1286666385,170.625999463
FS_12,1939,9.562583347083333,10.739999995416666,578.51399818,13.927333354833333,16.640666641666666,131.3870002
FS_12,1940,9.50699992925,10.095583383666666,1542.026996877,14.7984998215,16.361333369833332,97.55699954700002
FS_12,1941,7.49916664675,8.600249806666667,1200.3310112810002,10.764166591833334,13.497999588166667,213.51099631099999
FS_12,1942,8.587083289333334,9.14541657225,1183.4569935260001,12.668499945166667,14.980666557833334,261.706997349
FS_12,1943,7.99433326775,9.984583159666666,866.9040135399999,11.505499920166667,15.361833096166666,122.43299961000001
FS_12,1944,5.609416678583333,8.989000076416668,1002.5130039420001,8.265666643833333,14.783000150500001,156.10400343199998
FS_12,1945,6.205749919,9.537583324166667,1281.6670027369998,9.105833172833334,15.879166603333333,141.660002697
FS_12,1946,9.024166664416667,9.807916740416667,718.2959946899999,13.9680000165,16.1508334475,85.48199939
FS_12,1947,9.275000015833333,10.18266667925,551.342993731,14.032166719166668,16.061166763333333,84.732001301
FS_12,1948,7.46341667525,7.9264164315,954.2549924949999,10.857333261833332,13.637166261499999,309.90499212500004
FS_12,1949,8.0385833085,8.646666445666666,647.43900566,11.932333310666667,15.579332989166666,104.973001244
FS_12,1950,8.024083331083332,8.938750028416667,1534.5310047000003,12.064499934333332,15.113333304833333,172.14399589999996
FS_12,1951,7.9886665849166665,8.357916653,1134.521003969,12.479333243333334,15.690833329833334,129.456001519
